CustomerID,FirstName,LastName,Street,City,State,ZipCode,Telephone
1000001,Benjamin,Miell,383 Rieder Trail,White Plains,New York,90045,914-818-8676
1000002,Randell,Le Fleming,63407 Forster Point,Austin,Texas,70199,361-955-0953
1000003,Panchito,Shephard,461 Sunfield Parkway,Lubbock,Texas,92118,806-959-9130
1000004,Samson,Whitelaw,9258 Pine View Plaza,Boise,Idaho,58341,208-241-0237
1000005,Cirstoforo,Rowbotham,69259 Springview Terrace,Pensacola,Florida,40853,850-471-3164
1000006,Sela,Simkin,85514 Muir Circle,Birmingham,Alabama,91938,205-534-5154
1000007,Glynda,Kyles,3964 Mariners Cove Lane,Atlanta,Georgia,84607,404-695-0041
1000008,Thibaut,Mozzi,578 Corscot Drive,Dallas,Texas,44636,972-746-6722
1000009,Rollo,Yukhin,72 La Follette Road,Fort Collins,Colorado,50548,970-338-3014
1000010,Leonanie,Whitlam,0858 Montana Drive,Saint Paul,Minnesota,96163,651-866-8679
1000011,Aguistin,Ellicott,106 Manufacturers Drive,Bridgeport,Connecticut,96690,203-992-9692
1000012,Ingemar,Gaynesford,209 3rd Alley,Louisville,Kentucky,47353,502-306-3522
1000013,Daphna,Towner,10453 Crownhardt Center,Portland,Oregon,47304,971-129-3330
1000014,Brande,Heathcoat,51 Monument Court,Fullerton,California,41004,559-767-3988
1000015,Jordanna,Brannigan,72978 Glendale Way,Toledo,Ohio,77480,419-583-5863
1000016,Carlye,Glasser,13933 Charing Cross Circle,Oklahoma City,Oklahoma,83761,405-498-4953
1000017,Leanora,Jeannenet,314 Caliangt Avenue,Woburn,Massachusetts,40863,339-956-4834
1000018,Cordy,Brammall,621 International Avenue,Brooklyn,New York,31473,718-713-4226
1000019,Rutherford,Saby,8242 Eastwood Lane,Los Angeles,California,74282,213-129-0235
1000020,Markus,,195 Beilfuss Street,Las Vegas,Nevada,47700,702-829-9359
1000021,Noble,Mackinder,864 Sugar Plaza,Cincinnati,Ohio,96994,513-584-4798
1000022,Jordanna,Tebbitt,983 Sherman Way,San Diego,California,35294,619-438-3785
1000023,Kylie,Willimont,730 Lien Pass,Salt Lake City,Utah,28948,801-941-9538
1000024,Elmore,Berdale,281 Fieldstone Pass,Dayton,Ohio,95753,937-992-1580
1000025,Bettye,Carnelley,146 Emmet Avenue,Portland,Oregon,63152,503-124-2216
1000026,Aguistin,Cushelly,7741 Ryan Crossing,Boston,Massachusetts,77672,318-560-8512
1000027,Demetrius,Cosh,6731 Dakota Street,Harrisburg,Pennsylvania,44491,717-838-4421
1000028,Coletta,Georgeon,683 Pearson Trail,Trenton,New Jersey,75235,609-811-2329
1000029,Wait,Bison,17 Petterle Lane,,Michigan,43242,810-548-2005
